epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.545,0,54.2668,0,0,0,0,0,0,71.3563,0,0.000470147,0.000470147,0.000470147
2,616.707,0,41.926,0,0,0,0,0,0,113.687,0,0.00092774,0.00092774,0.00092774
3,936.459,0,35.579,0,0,0,0,0,0,50.0734,0,0.00136647,0.00136647,0.00136647
